"","V1"
"inaugFranklinDRoosevelt_1",5
"inaugFranklinDRoosevelt_2",5
"inaugFranklinDRoosevelt_3",5
"inaugFranklinDRoosevelt_4",12
"inaugHarrySTruman_1",11
"inaugDwightDEisenhower_1",13
"inaugDwightDEisenhower_2",5
"inaugJohnFKennedy_1",5
"inaugLyndonBJohnson_1",5
"inaugRichardNixon_1",5
"inaugRichardNixon_2",5
"inaugJimmyCarter_1",5
"inaugRonaldReagan_1",4
"inaugRonaldReagan_2",5
"inaugGeorgeBush_1",11
"inaugWilliamJClinton_1",5
"inaugWilliamJClinton_2",5
"inaugGeorgeWBush_1",5
"inaugGeorgeWBush_2",5
"inaugBarackObama_1",5
"inaugBarackObama_2",5
"inaugDonaldJTrump_1",5
