"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","believ","vision","earth","econom","will","found","servic","man","freedom","let","can","free","upon","thank","centuri"
"2","weapon","given","moment","state","nation","women","less","without","liberti","respons","peac","freedom","measur","thing","polit"
"3","let","remain","good","men","america","oath","civil","believ","know","better","world","secur","action","mean","famili"
"4","system","face","protect","democraci","peopl","may","forc","possibl","human","peac","help","men","spirit","friend","give"
"5","tax","must","job","unit","world","see","never","chang","ideal","spirit","nation","must","task","father","clear"
"6","begin","congress","whether","believ","new","happi","across","uniti","duti","home","peopl","upon","constitut","like","stand"
"7","much","emerg","oath","creat","american","hour","care","union","societi","celebr","shall","hope","leadership","take","take"
"8","well","honor","wealth","nation","time","declar","polit","find","word","respect","know","life","democraci","hard","terror"
"9","limit","threaten","voic","secur","govern","deni","common","mani","caus","commit","war","may","order","part","class"
"10","struggl","uniti","capit","program","must","prosper","call","rest","carri","era","seek","equal","part","need","done"
"11","reduc","arm","child","save","great","right","among","learn","choic","high","need","common","purpos","word","power"
"12","feder","common","crisi","right","live","victori","show","becom","mind","role","good","law","restor","love","read"
"13","support","cost","quiet","trade","one","equal","knowledg","first","stori","other","ask","principl","mere","fact","hear"
"14","prayer","hatr","remain","realiz","work","health","work","destini","accept","proud","meet","rule","kind","hand","assum"
"15","economi","public","across","intern","everi","stand","renew","fear","advanc","bold","power","strength","line","vice","enough"
